name,category,staff_potential,phone,website,rating,reviews,address,maps_url
Böllhoff Fastenings Pvt. Ltd.,,LOW,0124 421 3090,https://www.boellhoff.com/in-en/index.php,4.6,28,"Plot No 370, Udyog Vihar Phase IV, Rao Gajraj Singh Marg, Electronic City, IDPL Twp, Sector 22A, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=17154247916143770568&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Bombae,,MED,073034 88233,http://mybombae.in/,,,"5th Floor, Gulf Adiba, Plot Number 272, Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16718134005953781570&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BONABITE,fast_food_restaurant,HIGH,097287 70606,https://link.zomato.com/xqzv/rshare?id=57400934305630f6,5,2,"111, Basment Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3799031687496428702&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Bong Thali,indian_restaurant,HIGH,,,2.5,2,"15/72, Galli No. 15, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=18338074140679802484&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Boodmo,auto_parts_store,MED,,,2.3,6,"2, Sub. Major Laxmi Chand Rd, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=18011134069412805937&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BOOK MY EVENTS,,LOW,,https://www.bookmyeventss.co.in/,5,33,"A26/8, Golf Course Rd, A Block, DLF Phase 1, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6651945896485035870&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Borgaon 4,government_office,LOW,,,,,"Midil School, ke Piche, W N. 1Borgaon, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=12246316397155983775&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Boustead controls & electrics (I) pvt. Ltd.,corporate_office,MED,,,5,2,"616, Udyog Vihar 3, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=3535610019568109444&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Boys PG,service,LOW,,,4.5,8,"A55-15, Street Number 55, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4817600970081255889&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BPS,storage,LOW,,,,,"F3WG+8RH, Sector 22A, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=14660284549362306569&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BR GENERAL STORE,general_store,MED,098719 39033,,5,1,"Shop No.01, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=7459851821413429012&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BR PLAZA,employment_agency,LOW,,,,,"G36P+773, Udyog Vihar Phase 1, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2517925803260830699&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"BraaiCraft - BBQs, Offset Smokers, Grills, Firepits & Outdoor Kitchens",manufacturer,LOW,099808 51233,https://www.braaicraft.com/,5,7,"150, The National Media Centre, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10202035394158606253&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brain Discovery: Pre-School & Day Care,child_care_agency,MED,099900 30811,,5,1,"F4G3+X75, H-11 Rd, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13935457647112014663&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brainbiz Consulting,corporate_office,MED,,,,,"N-3/38, Road No. N-3, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=11805022679342377680&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brajesh cyber cafe,finance,MED,,,,,"near ss dharam kanta, IDPL Twp, Sector 22A, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=7752665996548055696&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Branda Digital Marketing,service,LOW,,https://www.branda.in/,,,"H.no.-424, 3, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7049934475123746269&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brawn Globus,corporate_office,MED,084700 00200,https://www.brawnglobus.com/,4,4,"W12, 3, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15022902924826187042&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brightbots Pvt.Ltd.,corporate_office,MED,096259 25876,https://brightbots.in/,3.8,4,"Plot 31, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=3014805957319763378&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brij Designs 440,manufacturer,LOW,,,,,"440, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=8433429043232513241&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brijwasi Fast Food,restaurant,HIGH,095682 46540,,5,2,"near Old Delhi Road, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9889523488906501052&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Broadway Consultancy,employment_agency,LOW,,,4.5,97,"First floor, shopping mall the Bristol hotel, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5976401730720077034&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brown Earth Technologies Pvt. Ltd.,corporate_office,MED,079 5129 7226,https://www.brownearthtech.co.uk/,5,2,"108, GoWork Building, 6th Floor, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=17287123666937480587&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BrownBricks Service Apartments,lodging,HIGH,095550 34206,https://www.airbnb.com/l/Kha0yT43,4.6,151,"26-27, V-19, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13839298595074884350&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BS2 Farmhouse,resort_hotel,HIGH,,,4.2,16,"D Block, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",https://maps.google.com/?cid=16081981616282336085&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BSNL Leaseline And Pri Services,,LOW,,,,,"IFFCO CHOWK, Plot Number- 18, opposite Iffco Colony, Sector 37, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=2845066293178359384&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BSO (AF) Rajokri,government_office,LOW,,,1,2,"G37W+6F4, Rajokri Village, Rajokri, New Delhi, Delhi 110038, India",https://maps.google.com/?cid=13458690232635073496&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BT eServ India Pvt Ltd,corporate_office,MED,,,4.5,108,"1, Sector 21, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9710679266882967922&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BT Global Business Services Pvt. Ltd,finance,MED,,,4.1,14,"Building No 6, Sector 24 & 25A, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=11921891934345587431&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BTR COMPLEX,storage,LOW,099584 00157,,4.6,11,"Plot No. 586, Ground Floor, 1, Phase V, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2431440006646528737&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Buckle manufacturing,store,MED,,,5,1,"Plot no 96 phase, 6, Sector 37, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=2411072168642882613&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Buddha Beauty Point,beauty_salon,HIGH,098996 58383,,4.9,107,"LG-46A, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=18220783643901149560&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Budhiraja's Dlf Phase 2 Gurgaon,service,LOW,,,,,"F3PQ+JJF, P-6, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3255979056806693631&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BuildMyInfra,service,LOW,084488 43335,https://www.buildmyinfra.com/,4.5,104,"Plot 174, Ground Floor, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3357896084804821374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BuildUP WorkSpaces,corporate_office,MED,074283 90838,,5,4,"190, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=8861778173983779266&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Business Bay,corporate_office,MED,,,3,2,"334, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=7301253950823182922&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
C-PRAV Certification Services Private Limited,,LOW,099023 85494,http://www.c-prav.com/,5,1,"90-B, 91Springboard, Jaipur - Delhi Expy, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=18073993733459001053&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"CA in Gurugram | CA Manish Mishra | B M C & Associates, Chartered Accountants",consultant,MED,099108 49998,https://bmcassociates.in/,5,8,"4th Floor, Blue 1 Square, 246, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=1036602119659141411&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CA Vibhu batra,consultant,MED,096509 47778,,4.7,15,"K-9/29, Phase I, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6587071122557378300&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
cafe coffee day,restaurant,HIGH,092668 76692,,3,2,"213, U 60 Rd, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4740950305112895757&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cafe Coffee day,coffee_shop,HIGH,,,4,1,"R&D Complex, Old Palam Gurgaon Rd, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=6167936165840501706&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cafe OMI,cafe,HIGH,098110 08684,http://www.thealdott.com/,4.5,50,"The Aldott, 81, Moulsari Ave, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4956889282761145308&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Cai Store, FLXY DLF Cyberhub",clothing_store,MED,084460 51276,http://flxy.in/,,,"FLXY store, Cyber City, 10, DLF Tower 8th Rd, near modern bazaar, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15079599974062173712&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Caitriona Ambience Apartments,condominium_complex,LOW,,,,,"Caitriona, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=2410938820374355614&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cake Samosa,restaurant,HIGH,,,4.4,7,"Yadava Residency, Sarhaul, Main Road, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=7878380923020652383&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CakeZone,bakery,HIGH,073494 16166,https://www.cakezone.com/,2.6,10,"FIRST FLOOR, 832, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=5810093109020599706&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Calico Designs,womens_clothing_store,MED,098717 68006,http://calicodesigns.in/,4.2,5,"Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=16286803387635589087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Calm Spa,spa,HIGH,096258 05637,https://calmspa.co.in/,5,12,"Lower Ground, Shop No - 30, City Centre Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=7979793373294730793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Calyco Paints,manufacturer,LOW,,https://calycopaints.com/,5,2,"1st Floor, T26/9, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13481240516111978055&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Campus 365 - Best School ERP Software,,LOW,1800 103 5164,https://www.campus365.io/,4.4,41,"108, 6th Floor, Phase 1, Udyog Vihar, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4039851316611066861&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Campus ActiveWear,corporate_office,MED,,,3.9,14,"DLF Cyber Park, Phase II, Udyog Vihar, City:, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16928853338151893192&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Canara Bank - Centre of Excellence (e-RSTC),,LOW,1800 425 0018,,4.7,618,"Plot No.80, Near, IFFCO CHOWK, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10171040842366940883&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CANARA BANK ATM,atm,MED,1800 1030,,1.3,4,"IFFCO CHOWK, OFF DELHI JAIPUR EXPRESS HIGHWAY SECTOR 18, PLOT NO 80, GURGAON, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=14515532278752636345&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Candor Tech Space,corporate_office,MED,,,,,"G35F+G3R, Sector 21, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3806133111453380636&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cantabil,store,MED,0124 406 1826,https://stores.cantabilinternational.com/cantabil-cantabil-retail-india-limited-clothing-accessories-store-mg-road-gurugram-63835/Home,4.7,199,"1st Flr, MGF Metropolitan Mall, No FF 21, Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=17412638460279514233&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Canteen Number 3 Maruti,restaurant,HIGH,,,4.5,24,"F3WF+Q3C, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=2702350239187467135&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Canvas: from the house of Tulsi,clothing_store,MED,0124 459 4994,https://shopcanvas.in/,5,3,"415A, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=5667812078768269376&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital autotech exports pvt ltd,,LOW,0124 494 7900,http://www.capitalautotech.com/,4.8,20,"473, Udyog Vihar Phase III, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2903382670028273303&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital Business Systems Pvt. Ltd.(Head Office),,MED,0124 461 7700,https://cbslgroup.in/,4.5,2,"288 A, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=7756279451425896108&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital O 11044 The Maaie Inn,hotel,HIGH,0124 620 1166,https://www.oyorooms.com/18151,3.5,235,"NR-19, Nathupur Rd, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=18275338376533043424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital O Tipsyy Near Aravali Biodiversity Park,hotel,HIGH,0124 433 0575,https://www.oyorooms.com/50770/,2.5,192,"14, V-39/14, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13670299544664989514&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Captain Sam's Pizza,pizza_delivery,HIGH,,https://captainsamspizza.in/,1.4,18,"Totaram Chowk, Nathupur Rd, nearby ICICI ATM, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=9588312814009156505&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Car Helpline In Gurgaon,car_repair,MED,093543 37301,,,,"Shop No 32, Bougainvilla Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8729224421654706814&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Car Proton,car_repair,MED,081303 03262,https://carproton.com/,4.7,13,"25, A-46 Rd, Nambardar Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3594976224410748580&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Car repair.,car_repair,MED,,,4.4,12,"Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=6336591086211004852&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Career Elevator,consultant,LOW,098182 81262,https://www.careerelevator.in/,5,1,"336, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=8244281846251445644&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cargo Globe,shipping_service,LOW,0124 421 0103,,,,"T-22/10, DLF Phase 3, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10070493665825893289&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Casa Dona | Food Court,mexican_restaurant,HIGH,080060 08909,https://mycasadona.com/casa-dona-food-court/,4.7,67,"Casa Dona Food Court Quattro Iconic, Plot No.273, Udyog Vihar II Rd, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4636406191652334623&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Casa piccolo,housing_complex,LOW,,,,,"F4H2+6C3, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9961235549867121989&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Case New Holland Construction Equipment (I) Pvt. Ltd.,corporate_office,MED,,http://www.casece.com/,3.7,3,"2nd Floor ATC Tower, Plot No, 14 A, Sub. Major Laxmi Chand Rd, Phase-4, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4513833417988276295&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Casenora Girls Pg Paying Guest,hotel,HIGH,097183 90395,,4.4,25,"Jcm 37 b, DLF Phase 2, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10840622480268537138&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CASH FOR GOLD,jewelry_store,MED,,https://www.goldbuyers.in/,4.6,5,"Ground Floor, CORPORATE SUITES, 9A, Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Sarhol, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15869587972558109692&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Castle Bay,hotel,HIGH,,,3,13,"-12, 29, M-12, Rd Number 6, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1245994597876921135&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Castrol Bike Point - M/S Hoque Auto,car_repair,MED,096355 14210,https://www.castrol.com/en_in/india/home.html?utm_source=locator&utm_medium=googleplaces,,,"Bhutni, Khosbar Tola, Uttar Chandipur, Ground Floor, near SBI Bank, Rajokri Village, Rajokri, Malda, New Delhi, West Bengal 110038, India",https://maps.google.com/?cid=15205286832728295909&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Castrol Service -BS Motor Workshop,car_repair,MED,099883 40491,https://www.castrol.com/en_in/india/home.html?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Servani Court, Neal Rehman Filling Station, Raekot Road, Taliyan Wala Adda, Rajokri Village, Rajokri, Malerkotla, New Delhi, Delhi 110038, India",https://maps.google.com/?cid=2863103786296655217&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cat,health,LOW,,,4,8,"F3RG+4R6, Sector 18, Sarhol, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11893576563415898462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cavallo Leather & Soft Furnishing Private Limited,art_studio,LOW,098114 63664,http://cavalloindia.com/,4,4,"A 14/27, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5596920990373127473&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cavort Entertainments,service,LOW,,https://chat.whatsapp.com/FD2EN64PkjvAMEo6MYVnPc,5,1,"Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9963175961640181751&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
