name,area,category,staff_potential,phone,website,address,maps,phone_source,enrich_note
Suchali's Artisan Bakehouse,DLF Phase 1,bakery,LOW,,,,https://www.openstreetmap.org/node/13243334783,none,
Dohful,DLF Phase 1,coffee,LOW,,,,https://www.openstreetmap.org/node/13243334787,none,
Surabhi Arya,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13246426332,none,
Rainbow Toys,DLF Phase 1,toys,LOW,+91 01244039833,,,https://www.openstreetmap.org/node/13246426333,osm,
Regalo Kitchens,DLF Phase 1,kitchen,LOW,,,,https://www.openstreetmap.org/node/13246426334,none,
Mayuri's Bespoke Studio,DLF Phase 1,tailor,LOW,,,,https://www.openstreetmap.org/node/13246426335,none,
Shutiq,DLF Phase 1,shoes,LOW,,,,https://www.openstreetmap.org/node/13246426337,none,
House of Lalittya,DLF Phase 1,interior_design,LOW,+91 9810318175,https://www.lalittya.com/,,https://www.openstreetmap.org/node/13246426340,osm,
Wooden Street,DLF Phase 1,furniture,LOW,,https://www.woodenstreet.com/,,https://www.openstreetmap.org/node/13246426341,none,
Gurgaon Bikes,DLF Phase 1,bicycle,LOW,,,,https://www.openstreetmap.org/node/13246426342,none,
Acer Mall,DLF Phase 1,computer,LOW,+91 9513384675,https://acermall.shopacer.co.in/shop/a-one-music&computers-acer-mall-exclusive-store-desktop-shop-computer-showroom-in-haryana-gurgaon-1660,,https://www.openstreetmap.org/node/13246426343,osm,
House of Urvashi,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13246426344,none,
Bharat Reshma,DLF Phase 1,clothes,LOW,+91 9811035034,https://bharatreshma.com/pages/gurugram-store-haryana,,https://www.openstreetmap.org/node/13246426346,osm,
Sikanderpur Fish Market,DLF Phase 1,butcher,LOW,,,,https://www.openstreetmap.org/way/1433587273,none,
Indian Oil,DLF Phase 2,fuel,LOW,,,,https://www.openstreetmap.org/node/249054695,none,
English Wine and Beer,DLF Phase 2,alcohol,LOW,,,,https://www.openstreetmap.org/node/444208659,none,
BlackRock,DLF Phase 2,financial,LOW,,,,https://www.openstreetmap.org/node/5596432684,none,
Bravura Solutions,DLF Phase 2,insurance,LOW,,,,https://www.openstreetmap.org/node/6392418985,none,
Dental Harbour,DLF Phase 2,dentist,LOW,,,,https://www.openstreetmap.org/node/7622826289,none,
Cosmodentz Dental Clinic,DLF Phase 2,dentist,LOW,,,,https://www.openstreetmap.org/node/7622826293,none,
RBS Dental Clinic,DLF Phase 2,dentist,LOW,,,,https://www.openstreetmap.org/node/7622826336,none,
Daily Need General Store,DLF Phase 2,confectionery,LOW,,,,https://www.openstreetmap.org/node/10961015275,none,
91 Springboard,DLF Phase 2,coworking,LOW,,https://www.91springboard.com/co-working-office-space-gurugram/7a-dlf-cyber-city/,,https://www.openstreetmap.org/node/13243404916,none,
Unicorn,DLF Phase 2,electronics,LOW,,,,https://www.openstreetmap.org/node/13293400506,none,
Nike,DLF Phase 2,clothes,LOW,,,,https://www.openstreetmap.org/node/13293400513,none,
Kings Kulfi,DLF Phase 2,ice_cream,LOW,,,,https://www.openstreetmap.org/node/13295285678,none,
The Body Shop,DLF Phase 2,cosmetics,LOW,,,,https://www.openstreetmap.org/node/13295285681,none,
Sunglass Hut,DLF Phase 2,optician,LOW,,,,https://www.openstreetmap.org/node/13295285682,none,
Cococart,DLF Phase 2,chocolate,LOW,,,,https://www.openstreetmap.org/node/13295285683,none,
World's Finest Spirits,DLF Phase 2,alcohol,LOW,,,,https://www.openstreetmap.org/way/351608309,none,
Dr. Khullar's Dental Clinic,DLF Phase 3,dentist,LOW,,,,https://www.openstreetmap.org/node/7622826270,none,
Dental Cure and Care Centre,DLF Phase 3,dentist,LOW,,,,https://www.openstreetmap.org/node/7622826279,none,
Garg Dental Care,DLF Phase 3,dentist,LOW,,,,https://www.openstreetmap.org/node/7622826314,none,
The Chocolate Room,DLF Phase 3,chocolate,LOW,,,,https://www.openstreetmap.org/node/13296673496,none,
Häagen-Dazs,DLF Phase 3,ice_cream,LOW,,,,https://www.openstreetmap.org/node/13296680518,none,
D'Shoe Lounge,DLF Phase 3,shoes,LOW,,,,https://www.openstreetmap.org/node/13296688580,none,
Ancestry,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688581,none,
Meena Bazaar,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688583,none,
Adidas,DLF Phase 3,sports,LOW,,,,https://www.openstreetmap.org/node/13296688584,none,
Saundh,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688585,none,
Ritu Kumar,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688586,none,
Mothercare,DLF Phase 3,baby_goods,LOW,,,,https://www.openstreetmap.org/node/13296688587,none,
Lenskart,DLF Phase 3,optician,LOW,,,,https://www.openstreetmap.org/node/13296688588,none,
Pure,DLF Phase 3,interior_decoration,LOW,,,,https://www.openstreetmap.org/node/13296688589,none,
Chicco,DLF Phase 3,baby_goods,LOW,,,,https://www.openstreetmap.org/node/13296688590,none,
Cromā,DLF Phase 3,electronics,LOW,,,,https://www.openstreetmap.org/node/13296688591,none,
Sweet Dreams,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688592,none,
Suvasa,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688593,none,
Samsonite,DLF Phase 3,bag,LOW,,,,https://www.openstreetmap.org/node/13296688594,none,
Globaldesi,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688596,none,
Ecco,DLF Phase 3,shoes,LOW,,,,https://www.openstreetmap.org/node/13296688597,none,
Biba,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688598,none,
H&M,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688599,none,
One Friday,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296688600,none,
Van Heusen,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721101,none,
Hush Puppies,DLF Phase 3,shoes,LOW,,,,https://www.openstreetmap.org/node/13296721103,none,
Mohanlal Sons,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721104,none,
Samsung,DLF Phase 3,electronics,LOW,,,,https://www.openstreetmap.org/node/13296721105,none,
GKB Opticals,DLF Phase 3,optician,LOW,,,,https://www.openstreetmap.org/node/13296721106,none,
Jaypor,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721107,none,
Mi Arcus,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721108,none,
Aurelia,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721109,none,
Delsey Paris,DLF Phase 3,bag,LOW,,,,https://www.openstreetmap.org/node/13296721110,none,
Sony Centre,DLF Phase 3,electronics,LOW,,,,https://www.openstreetmap.org/node/13296721111,none,
Toy Factory,DLF Phase 3,toys,LOW,,,,https://www.openstreetmap.org/node/13296721112,none,
Mustard,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721113,none,
Anita Dongre,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721114,none,
Go Colors!,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721115,none,
Reliance Digital,DLF Phase 3,electronics,LOW,,,,https://www.openstreetmap.org/node/13296721116,none,
Anokhi,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721117,none,
Iconic Kids,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721118,none,
Fabindia,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721119,none,
Lenovo,DLF Phase 3,computer,LOW,,,,https://www.openstreetmap.org/node/13296721121,none,
Kate & Oscar,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721123,none,
Meena Bazaar,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721124,none,
Reliance Digital,DLF Phase 3,electronics,LOW,,,,https://www.openstreetmap.org/node/13296721125,none,
W,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721126,none,
Sabhyata,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721127,none,
Soch,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721128,none,
Panna,DLF Phase 3,clothes,LOW,,,,https://www.openstreetmap.org/node/13296721129,none,
DLF City Club Swimming Pool,DLF Phase 3,sports_centre,LOW,,,,https://www.openstreetmap.org/way/456875783,none,
Shri Balaji Store,Galleria Market,dairy,LOW,,,,https://www.openstreetmap.org/node/10688307095,none,
The Cake Company,Galleria Market,pastry,LOW,,,,https://www.openstreetmap.org/node/10688316841,none,
Daily Dose,Galleria Market,alcohol,LOW,,,,https://www.openstreetmap.org/node/10869059264,none,
Hindustan Petroleum,Galleria Market,fuel,LOW,,,,https://www.openstreetmap.org/node/10869059265,none,
Om Electrical,Galleria Market,electrical,LOW,,,"12, A55",https://www.openstreetmap.org/node/10925506088,none,
Lakeforest Wines,Galleria Market,alcohol,LOW,,,,https://www.openstreetmap.org/node/11109926060,none,
Red Orchid Spa Gurgaon,Galleria Market,massage,LOW,+91-124-4287808,,"A 26/14, 2nd Floor, A 26, 14, Golf Course Rd, DLF Phase 1, Sector 28,",https://www.openstreetmap.org/node/11238180264,osm,
Rarity Dental,Galleria Market,dentist,LOW,+91 78994 18483,https://raritydental.com,,https://www.openstreetmap.org/node/13176612124,osm,
DuckDuckBaby,Galleria Market,baby_goods,LOW,,,,https://www.openstreetmap.org/node/13176619916,none,
Heads Up for Tails,Galleria Market,pet,LOW,,,,https://www.openstreetmap.org/node/13176667055,none,
Discovery Liquor Warehouse,Galleria Market,alcohol,LOW,,,,https://www.openstreetmap.org/node/13243279484,none,
Skinfinity Derma,Galleria Market,doctors,LOW,+91 8591110110,,,https://www.openstreetmap.org/node/13246707608,osm,
Lakeforest Wines,Galleria Market,alcohol,LOW,,,,https://www.openstreetmap.org/node/13246707621,none,
Balaji Daily Needs,Galleria Market,general,LOW,,,,https://www.openstreetmap.org/node/13246707622,none,
Midea Proshop,Galleria Market,appliance,LOW,+91 8882702822,,,https://www.openstreetmap.org/node/13246707623,osm,
D'Decor,Galleria Market,bed,LOW,,,,https://www.openstreetmap.org/node/13246707624,none,
Immersive Technologies,Galleria Market,yes,LOW,+91 9810019402;+91 9810399402,https://www.immersivetech.in/,,https://www.openstreetmap.org/node/13246707625,osm,
Bombay Shirt Company,Galleria Market,clothes,LOW,,,,https://www.openstreetmap.org/node/13246707644,none,
ibaby,Galleria Market,baby_goods,LOW,,https://ibabyxpress.com/pages/golf-course-road-gurgaon,,https://www.openstreetmap.org/node/13246707645,none,
Mirea by Dr. Meghana Gupta,Galleria Market,doctors,LOW,+91 9800008466,https://www.mireaclinics.com/,,https://www.openstreetmap.org/node/13246707648,osm,
Electronics Mart,Galleria Market,appliance,LOW,,,,https://www.openstreetmap.org/node/13246707655,none,
Karishma Tiles & Stones,Galleria Market,flooring,LOW,+91 9818862969,https://karishmatiles.com/tiles-showroom-in-gurgaon,,https://www.openstreetmap.org/node/13246707658,osm,
Paisley,Galleria Market,clothes,LOW,+91 8377991999;+91 8355991999,https://thepaisleyfabrics.com/,,https://www.openstreetmap.org/node/13246707659,osm,
Odelia,Galleria Market,clothes,LOW,,,,https://www.openstreetmap.org/node/13246707660,none,
